DT_GERACAO;SG_UF;NM_UE;DS_CARGO;NR_CANDIDATO;NM_URNA_CANDIDATO;TP_AGREMIACAO;NR_PARTIDO;SG_PARTIDO;NM_PARTIDO;NM_FEDERACAO;SG_FEDERACAO;DS_COMPOSICAO_FEDERACAO;SQ_COLIGACAO;NM_COLIGACAO;DS_COMPOSICAO_COLIGACAO
14/09/2026;RJ;RIO DE JANEIRO;VICE-GOVERNADOR;80;BIA MARTINS;PARTIDO ISOLADO;80;UP;UNIDADE POPULAR;#NULO;#NULO;#NULO;1,90002E+11;PARTIDO ISOLADO;UP
14/09/2026;RJ;RIO DE JANEIRO;VICE-GOVERNADOR;16;PERCILIANA;PARTIDO ISOLADO;16;PSTU;PARTIDO SOCIALISTA  DOS TRABALHADORES UNIFICADO;#NULO;#NULO;#NULO;1,90002E+11;PARTIDO ISOLADO;PSTU
14/09/2026;RJ;RIO DE JANEIRO;VICE-GOVERNADOR;50;JULIANA CARVALHO;FEDERAÇÃO;50;PSOL;PARTIDO SOCIALISMO E LIBERDADE;FEDERAÇÃO PSOL REDE;PSOL/REDE;PSOL/REDE;1,90002E+11;FEDERAÇÃO;FEDERAÇÃO PSOL REDE (PSOL / REDE)
14/09/2026;RJ;RIO DE JANEIRO;VICE-GOVERNADOR;29;CAETANO ALBUQUERQUE;PARTIDO ISOLADO;29;PCO;PARTIDO DA CAUSA OPERÁRIA;#NULO;#NULO;#NULO;1,90002E+11;PARTIDO ISOLADO;PCO
14/09/2026;RJ;RIO DE JANEIRO;SENADOR;500;MONICA BENICIO;FEDERAÇÃO;50;PSOL;PARTIDO SOCIALISMO E LIBERDADE;FEDERAÇÃO PSOL REDE;PSOL/REDE;PSOL/REDE;1,90002E+11;FEDERAÇÃO;FEDERAÇÃO PSOL REDE (PSOL / REDE)
14/09/2026;RJ;RIO DE JANEIRO;SENADOR;160;PAULA FALCÃO;PARTIDO ISOLADO;16;PSTU;PARTIDO SOCIALISTA  DOS TRABALHADORES UNIFICADO;#NULO;#NULO;#NULO;1,90002E+11;PARTIDO ISOLADO;PSTU
14/09/2026;RJ;RIO DE JANEIRO;SENADOR;131;BENEDITA DA SILVA;COLIGAÇÃO;13;PT;PARTIDO DOS TRABALHADORES;FEDERAÇÃO BRASIL DA ESPERANÇA - FE BRASIL;PT/PC do B/PV;PT/PC do B/PV;1,90002E+11;JUNTOS PARA MUDAR CORAGEM PARA RECONSTRUIR;PDT / MDB / DC / FEDERAÇÃO BRASIL DA ESPERANÇA - FE BRASIL (PT / PC do B / PV) / PSB / PSD / FEDERAÇÃO PSDB CIDADANIA (PSDB / CIDADANIA) / FEDERAÇÃO RENOVAÇÃO SOLIDÁRIA (PRD / SOLIDARIEDADE)
14/09/2026;RJ;RIO DE JANEIRO;SENADOR;290;LUIZ EUGENIO;PARTIDO ISOLADO;29;PCO;PARTIDO DA CAUSA OPERÁRIA;#NULO;#NULO;#NULO;1,90002E+11;PARTIDO ISOLADO;PCO
14/09/2026;RJ;RIO DE JANEIRO;SENADOR;808;VINICIUS BENEVIDES;PARTIDO ISOLADO;80;UP;UNIDADE POPULAR;#NULO;#NULO;#NULO;1,90002E+11;PARTIDO ISOLADO;UP
14/09/2026;RJ;RIO DE JANEIRO;SENADOR;800;MICHELLY XAVIER;PARTIDO ISOLADO;80;UP;UNIDADE POPULAR;#NULO;#NULO;#NULO;1,90002E+11;PARTIDO ISOLADO;UP
