id,tier,tipo,nome,plataforma_principal,handle,url_perfil,email_profissional,email_imprensa,formulario_contato,telefone_institucional,cidade_uf,alcance_estimado,fonte_url,data_coleta,email_verificado,status_outreach,notas
001,5,partido,Partido dos Trabalhadores - Diretório Nacional,Site Oficial,pt,https://pt.org.br/contato/,contato@pt.org.br,,,(61) 3213-1313,Brasília-DF,,https://pt.org.br/contato/,2026-01-21,sim,ativo,Sede Nacional - SCS Qd 2 Bl C Ed Toufic
002,5,partido,Partido Socialismo e Liberdade - Nacional,Site Oficial,psol,https://psol50.org.br/enderecos-e-telefones/,contato@psol50.org.br,imprensa@psol50.org.br,,(61) 3327-6405,Brasília-DF,,https://psol50.org.br/enderecos-e-telefones/,2026-01-21,sim,ativo,Secretaria Executiva Nacional
003,5,partido,Partido Socialista Brasileiro - Nacional,Site Oficial,psb,https://psb40.org.br/contatos-ascom/,,imprensa@psbnacional.org.br,,(61) 3327-5196,Brasília-DF,,https://psb40.org.br/contatos-ascom/,2026-01-21,sim,ativo,Ramais: 320 337 332 336
004,5,partido,Partido Democrático Trabalhista - Nacional,Site Oficial,pdt,https://pdt.org.br/index.php/contato/,,,,,(61) 3224-0791,Brasília-DF,,https://pdt.org.br/index.php/contato/,2026-01-21,nao,ativo,Formulário de contato site - sem email institucional visível
005,5,partido,Partido Comunista do Brasil - Nacional,Site Oficial,pcdob,https://pcdob.org.br/contato/,organizacao@pcdob.org.br,comunicacao@pcdob.org.br,,(61),Brasília-DF,,https://pcdob.org.br/contato/,2026-01-21,sim,ativo,Sede SHN Qd 2 Bl F Ed Brasília
006,5,partido,Unidade Popular pelo Socialismo - Nacional,Site Oficial,up,https://unidadepopular.org.br/contato,,,,+55 11 91240-8881,Brasília-DF,,https://unidadepopular.org.br/contato,2026-01-21,nao,ativo,Apenas WhatsApp institucional - sem email público
007,5,partido,Partido Progressistas - Nacional,Site Oficial,pp,https://progressistas.org.br/informacoes-gerais/,pp@pp.org.br,,,(61) 3321-9499,Brasília-DF,,https://progressistas.org.br/informacoes-gerais/,2026-01-21,sim,ativo,SHIS QI 19 Conj 13 Casa 19 Lago Sul
008,5,partido,Progressistas Rio Grande do Sul,Site Estadual,pp-rs,https://www.pp-rs.org.br/fale-conosco/,,,,,Porto Alegre-RS,,https://www.pp-rs.org.br/fale-conosco/,2026-01-21,nao,ativo,Praça Marechal Deodoro 134 Centro Histórico
009,3,midia,Agência Pública,Site,apublica,https://apublica.org/,contato@apublica.org,redacao@apublica.org,,,,,,https://apublica.org/contato/,2026-01-21,sim,ativo,Agência jornalismo investigativo independente
010,3,midia,Ponte Jornalismo,Site,ponte,https://ponte.org/,ponte@ponte.org,,,,São Paulo-SP,,https://ponte.org/sobre/contato/,2026-01-21,sim,ativo,Jornalismo independente foco direitos humanos
011,3,midia,Marco Zero Conteúdo,Site,marcozero,https://marcozero.org/,marcozero@marcozero.org,,,,,,,https://marcozero.org/contato/,2026-01-21,sim,ativo,OSC jornalismo investigativo independente
012,3,midia,The Intercept Brasil,Site,intercept,https://www.intercept.com.br/,,imprensa@staging-intercept.intercept.com.br,,,,,,https://staging-intercept.intercept.com.br/sobre/,2026-01-21,sim,ativo,Jornalismo investigativo progressista
013,3,midia,Revista Fórum,Site,forum,https://revistaforum.com.br/,contato@revistaforum.com.br,,,,,,,https://revistaforum.com.br/contato/,2026-01-21,sim,ativo,Publicação online visão progressista
