divergenceType;status;candidateId;tseId;name;socialName;uf;cargo;party;numeroUrna;viceApp;viceTse;description
QUARANTINED_RECORD;RESOLVIDO_QUARENTENA;07d2b54e-c00e-463e-90b3-9948913160d0;40002549918;"ALICE MAFRA CAVALCANTE REIS PENAFORT";"DOUTORA ALICE MAFRA";AM;DEPUTADO_FEDERAL;MOBILIZA;3333;"";"";"Registro isolado em quarentena (visible=false, source=TSE_CSV_CONSERVATIVE)"
QUARANTINED_RECORD;RESOLVIDO_QUARENTENA;d99f4c33-174d-4654-b874-657f4f2c7672;40002536494;"ESTER LEMOS DOS SANTOS";"ESTER DO PIORINI";AM;DEPUTADO_ESTADUAL;AGIR;36556;"";"";"Registro isolado em quarentena (visible=false, source=TSE_CSV_CONSERVATIVE)"
QUARANTINED_RECORD;RESOLVIDO_QUARENTENA;2d433494-a8a4-4fdc-8c08-86f23f202408;40002536483;"SÃMARA SILVA SOUZA DO NASCIMENTO";"SÃMARA SOUZA";AM;DEPUTADO_ESTADUAL;AGIR;36227;"";"";"Registro isolado em quarentena (visible=false, source=TSE_CSV_CONSERVATIVE)"
QUARANTINED_RECORD;RESOLVIDO_QUARENTENA;676c0da5-88ea-4098-ac3a-7fc45feb199a;190002536548;"PAULO SERGIO GOMES FILHO";"PAULO DA RAYSSA";RJ;DEPUTADO_ESTADUAL;AGIR;36193;"";"";"Registro isolado em quarentena (visible=false, source=TSE_CSV_CONSERVATIVE)"
QUARANTINED_RECORD;RESOLVIDO_QUARENTENA;e957360f-2c67-4ddd-91e6-54b7bbe663c0;140002552335;"JACKSON CLAUDIO PAZ CAVALCANTE";"PASTOR JACKSON CAVALCANTE";PA;DEPUTADO_FEDERAL;SOLIDARIEDADE;7778;"";"";"Registro isolado em quarentena (visible=false, source=TSE_CSV_CONSERVATIVE)"
QUARANTINED_RECORD;RESOLVIDO_QUARENTENA;267a861f-9862-4f36-9836-c288d3bb0a58;40002554392;"DAILA LEITE PRESTES";"DAILA PRESTES";AM;DEPUTADO_ESTADUAL;REDE;181;"";"";"Registro isolado em quarentena (visible=false, source=TSE_NOT_IN_2026)"
QUARANTINED_RECORD;RESOLVIDO_QUARENTENA;26a2fb14-d1ac-432c-9f9c-1442b4feaf3d;40002550806;"MILTON ROGÃRIO MOREIRA PINTO";"XUXA DO AMAZONAS";AM;SENADOR;MOBILIZA;333;"";"";"Registro isolado em quarentena (visible=false, source=TSE_CSV_CONSERVATIVE)"
QUARANTINED_RECORD;RESOLVIDO_QUARENTENA;418aeb33-3e2b-4923-8d86-e4c265ee8a02;40002536484;"RODRIGO DE SOUZA MELO";"RODRIGO MELO";AM;DEPUTADO_ESTADUAL;AGIR;36789;"";"";"Registro isolado em quarentena (visible=false, source=TSE_CSV_CONSERVATIVE)"
QUARANTINED_RECORD;RESOLVIDO_QUARENTENA;33d84225-90a5-437a-b6b9-44907a69e984;40002536491;"KEITTON WYLLYSON PINHEIRO BATISTA";"O KEITTON";AM;DEPUTADO_ESTADUAL;AGIR;36456;"";"";"Registro isolado em quarentena (visible=false, source=TSE_CSV_CONSERVATIVE)"
QUARANTINED_RECORD;RESOLVIDO_QUARENTENA;eb2e0bed-9b3a-45bb-8dbc-b01719e0cc44;40002536490;"JOANA PAULA DA SILVA DANTAS";"JOANA DANTAS";AM;DEPUTADO_ESTADUAL;AGIR;36111;"";"";"Registro isolado em quarentena (visible=false, source=TSE_CSV_CONSERVATIVE)"
QUARANTINED_RECORD;RESOLVIDO_QUARENTENA;9daf401f-57f1-4f4d-a34e-f2cf1913afa4;40002536496;"MARCELO PALHANO SANCHES";"MARCELO PALHANO";AM;DEPUTADO_ESTADUAL;AGIR;36999;"";"";"Registro isolado em quarentena (visible=false, source=TSE_CSV_CONSERVATIVE)"
QUARANTINED_RECORD;RESOLVIDO_QUARENTENA;2ced0a9a-8ea1-4994-a6de-c6fc3519c1e5;40002549902;"WILL ROBSON FONTES GOIABEIRA";"GOIABEIRA";AM;DEPUTADO_FEDERAL;SOLIDARIEDADE;7712;"";"";"Registro isolado em quarentena (visible=false, source=TSE_CSV_CONSERVATIVE)"
QUARANTINED_RECORD;RESOLVIDO_QUARENTENA;8fb90f4c-afe4-41cc-94fa-d3b979ef8028;40002549906;"CARLES WALDEMAR CORREA DOS SANTOS";"CARLES WALDEMAR MAGUILA";AM;DEPUTADO_FEDERAL;SOLIDARIEDADE;7770;"";"";"Registro isolado em quarentena (visible=false, source=TSE_CSV_CONSERVATIVE)"
QUARANTINED_RECORD;RESOLVIDO_QUARENTENA;018a6c84-aac1-4e59-9c29-2516276dc5da;40002551740;"BENEVENUTO DACIOLO FONSECA DOS SANTOS";"CABO DACIOLO";AM;GOVERNADOR;MOBILIZA;33;"";"";"Registro isolado em quarentena (visible=false, source=TSE_CSV_CONSERVATIVE)"
QUARANTINED_RECORD;RESOLVIDO_QUARENTENA;7831e4d2-95c5-4806-b827-3599ac81f4b7;210002551987;"ARLINDO FERNANDO DA SILVA MENCA";"ARLINDO MENÃA  BAIA ";RS;DEPUTADO_FEDERAL;SOLIDARIEDADE;7785;"";"";"Registro isolado em quarentena (visible=false, source=TSE_CSV_CONSERVATIVE)"
QUARANTINED_RECORD;RESOLVIDO_QUARENTENA;99fe037b-0c2b-4a07-9866-adf9b6abba35;190002537119;"JUCIANE GOMES";"JUCIANE PASSEATA DAS MÃES";RJ;DEPUTADO_ESTADUAL;AGIR;36707;"";"";"Registro isolado em quarentena (visible=false, source=TSE_CSV_CONSERVATIVE)"
QUARANTINED_RECORD;RESOLVIDO_QUARENTENA;e7adb958-4fc2-4e5d-9fe1-d93d924002aa;190002536529;"REGINALDO SILVA ARAUJO CURY";"DR CURY-HABIB";RJ;DEPUTADO_ESTADUAL;AGIR;36700;"";"";"Registro isolado em quarentena (visible=false, source=TSE_CSV_CONSERVATIVE)"
QUARANTINED_RECORD;RESOLVIDO_QUARENTENA;64c212dd-7e65-44df-8608-eb0df7bd2f64;40002536478;"MARA NÃBIA DE ALMEIDA CINTRA";"MARA NÃBIA";AM;DEPUTADO_ESTADUAL;AGIR;36321;"";"";"Registro isolado em quarentena (visible=false, source=TSE_CSV_CONSERVATIVE)"
QUARANTINED_RECORD;RESOLVIDO_QUARENTENA;ad0ef4ba-dfa6-41b7-94d2-d589699959fb;40002536495;"FÃBIO DA SILVA DUARTE";"FÃBIO DUARTE FILHO DO BAIRRO";AM;DEPUTADO_ESTADUAL;AGIR;36064;"";"";"Registro isolado em quarentena (visible=false, source=TSE_CSV_CONSERVATIVE)"
QUARANTINED_RECORD;RESOLVIDO_QUARENTENA;22dd19c9-a42b-4534-bd35-bed860cab324;250002551632;"CARLOS EDUARDO MONCAO GARCIA";"APOSTOLO EDUARDO MONÃÃO";SP;DEPUTADO_FEDERAL;AGIR;3640;"";"";"Registro isolado em quarentena (visible=false, source=TSE_CSV_CONSERVATIVE)"
